distance_A,rho_ensemble_avg_g_cm3,orientation_ensemble_avg_g_cm3,is_adsorbed_layer_bin
4.998030233615579493e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.499409070084674056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.499015116807789816e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.498621163530906131e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.498227210254021613e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.497833256977138205e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.497439303700254243e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.497045350423370280e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.496651397146485207e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.496257443869602355e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.049586349059271617e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.149546953731583443e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.249507558403894825e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.349468163076206650e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.449428767748518032e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.549389372420829858e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.649349977093141240e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.749310581765453065e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.849271186437764447e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.949231791110076051e+00,1.523525897494758165e-03,1.031593362334382469e-03,1.000000000000000000e+00
2.049192395782387877e+00,4.801919898382023821e-01,3.533193390043595783e-01,1.000000000000000000e+00
2.149153000454699480e+00,1.327562490569221820e+00,9.367957098401434868e-01,1.000000000000000000e+00
2.249113605127011084e+00,1.850840736706033995e+00,1.256364153964986130e+00,1.000000000000000000e+00
2.349074209799322688e+00,1.074578948340004558e+00,6.819235064697090065e-01,1.000000000000000000e+00
2.449034814471633847e+00,6.783575613690673300e-01,4.099877073026701457e-01,1.000000000000000000e+00
2.548995419143945895e+00,4.788063792339419256e-01,2.144325308766139582e-01,1.000000000000000000e+00
2.648956023816257055e+00,7.060926995674329243e-01,-1.129981950334716101e-01,1.000000000000000000e+00
2.748916628488569547e+00,1.213268862829912420e+00,-4.292280284154911252e-01,1.000000000000000000e+00
2.848877233160880706e+00,3.186874107339677131e+00,-1.468687305293960632e+00,1.000000000000000000e+00
2.948837837833191866e+00,4.061450247219490883e+00,-1.863113055337155988e+00,1.000000000000000000e+00
3.048798442505503470e+00,4.428703990187536021e+00,-2.016572304320023878e+00,1.000000000000000000e+00
3.148759047177815518e+00,3.539306978266008485e+00,-1.599617704427767961e+00,1.000000000000000000e+00
3.248719651850126677e+00,2.370311169637713711e+00,-1.186659099222040714e+00,1.000000000000000000e+00
3.348680256522438281e+00,1.543664265326672558e+00,-7.441227837585988603e-01,1.000000000000000000e+00
3.448640861194750329e+00,8.625452842503726902e-01,-3.678186827957752869e-01,1.000000000000000000e+00
3.548601465867061489e+00,8.551881784268612341e-01,-3.669900010527942236e-01,1.000000000000000000e+00
3.648562070539372648e+00,1.240722400566438788e+00,-5.393099856308650741e-01,1.000000000000000000e+00
3.748522675211685140e+00,9.564857351118544182e-01,-5.087069079917317938e-01,0.000000000000000000e+00
3.848483279883996300e+00,8.929952424542388911e-01,-3.282284493780015522e-01,0.000000000000000000e+00
3.948443884556307459e+00,9.422234270678399026e-01,-3.603921947404744586e-01,0.000000000000000000e+00
4.048404489228619951e+00,1.021748705893093190e+00,-3.083355193369436975e-01,0.000000000000000000e+00
4.148365093900931555e+00,8.154925025107310210e-01,-1.720838421464373699e-02,0.000000000000000000e+00
4.248325698573242271e+00,6.798356737587593068e-01,4.677088949610953145e-02,0.000000000000000000e+00
4.348286303245554762e+00,4.492949362000054903e-01,3.694037335571119518e-02,0.000000000000000000e+00
4.448246907917866366e+00,5.388306302727337016e-01,7.224899290560131415e-02,0.000000000000000000e+00
4.548207512590177082e+00,4.708881719530950694e-01,1.418036704862867259e-01,0.000000000000000000e+00
4.648168117262489574e+00,3.421366116201871033e-01,1.142956414068682092e-01,0.000000000000000000e+00
4.748128721934801177e+00,1.666150915633898277e-01,2.907458817112983790e-02,0.000000000000000000e+00
4.848089326607111893e+00,4.255648397912215053e-02,-5.423709707362804264e-03,0.000000000000000000e+00
4.948049931279424385e+00,5.797432154069274285e-02,-3.676602027781899346e-02,0.000000000000000000e+00
5.048010535951735989e+00,4.014241999958982343e-01,-1.358773549506560596e-01,0.000000000000000000e+00
5.147971140624046704e+00,7.644682777630122938e-01,-6.050958274021864258e-02,0.000000000000000000e+00
5.247931745296358308e+00,7.484904125268045938e-01,-6.770314301087898556e-02,0.000000000000000000e+00
5.347892349968670800e+00,7.797846866113817832e-01,-4.614180824406983183e-01,0.000000000000000000e+00
5.447852954640981515e+00,6.793097001463905826e-01,-1.966963011544523576e-01,0.000000000000000000e+00
5.547813559313294007e+00,1.513921792698813329e+00,-1.364605024172154679e-01,0.000000000000000000e+00
5.647774163985605611e+00,1.335571132663033511e+00,-1.441845844832454759e-01,0.000000000000000000e+00
5.747734768657917215e+00,1.838799953429133494e+00,-6.080978697819163781e-01,0.000000000000000000e+00
5.847695373330227930e+00,1.251476476801076210e+00,-3.611610494691875894e-01,0.000000000000000000e+00
5.947655978002539534e+00,1.308378843214445197e+00,-1.409795920718051876e-01,0.000000000000000000e+00
6.047616582674852026e+00,1.211375407673421556e+00,-4.274284399245708577e-01,0.000000000000000000e+00
6.147577187347162742e+00,1.122396128988058628e+00,-4.922384300260153056e-01,0.000000000000000000e+00
6.247537792019475233e+00,1.048153965589277314e+00,-4.099108473216097059e-01,0.000000000000000000e+00
6.347498396691786837e+00,1.439433994050279164e+00,-4.924893808146064145e-01,0.000000000000000000e+00
6.447459001364097553e+00,1.874823719109138809e+00,-4.040038767362193473e-01,0.000000000000000000e+00
6.547419606036409157e+00,1.470374549729872582e+00,-4.013876558663966726e-02,0.000000000000000000e+00
6.647380210708721648e+00,1.560215012863420236e+00,1.172302655094277501e-02,0.000000000000000000e+00
6.747340815381032364e+00,1.181781527164518009e+00,5.576868556605425048e-02,0.000000000000000000e+00
6.847301420053344856e+00,8.341829661319764000e-01,-3.790375163922788532e-02,0.000000000000000000e+00
6.947262024725656460e+00,6.316868412800790145e-01,-9.863347299243831190e-02,0.000000000000000000e+00
7.047222629397967175e+00,6.743361285228166579e-01,-7.315240241607895433e-02,0.000000000000000000e+00
7.147183234070278779e+00,7.138416953791065778e-01,-1.818196349720220817e-01,0.000000000000000000e+00
7.247143838742589494e+00,7.191873797102401600e-01,-1.471648335061708501e-01,0.000000000000000000e+00
7.347104443414901986e+00,8.624671581269544030e-01,-3.035513014939177356e-01,0.000000000000000000e+00
7.447065048087213590e+00,1.207732200727335226e+00,-5.494082596926507245e-01,0.000000000000000000e+00
7.547025652759526082e+00,1.696328825093322612e+00,-9.562308648193735827e-01,0.000000000000000000e+00
7.646986257431836798e+00,1.491328875203339344e+00,-8.161825304134296966e-01,0.000000000000000000e+00
7.746946862104148401e+00,1.702031518246134967e+00,-8.919574883243232000e-01,0.000000000000000000e+00
7.846907466776460005e+00,1.689191758648466379e+00,-8.157122343655728303e-01,0.000000000000000000e+00
7.946868071448771609e+00,1.136973281522765777e+00,-5.897908531621705031e-01,0.000000000000000000e+00
8.046828676121084101e+00,7.448935204262527865e-01,-4.316603077020535473e-01,0.000000000000000000e+00
8.146789280793395704e+00,4.297311562551332509e-01,-2.365523991783426150e-01,0.000000000000000000e+00
8.246749885465707308e+00,2.859313137573709640e-01,-1.404552952187305692e-01,0.000000000000000000e+00
8.346710490138018912e+00,8.464981795092512140e-01,1.527627934932213605e-01,0.000000000000000000e+00
8.446671094810328739e+00,7.055711873595205130e-01,8.189037542409673132e-02,0.000000000000000000e+00
8.546631699482642119e+00,5.273704907360785565e-01,2.816750706314170016e-01,0.000000000000000000e+00
8.646592304154953723e+00,6.029346697729686122e-01,3.492196264386989157e-01,0.000000000000000000e+00
8.746552908827265327e+00,7.689471800723306494e-01,4.818399637621034737e-02,0.000000000000000000e+00
8.846513513499576931e+00,1.153202014346601301e+00,-5.424960816943957820e-02,0.000000000000000000e+00
8.946474118171888534e+00,1.390023294180894542e+00,-2.785203510849199038e-01,0.000000000000000000e+00
9.046434722844198362e+00,1.461994244768133555e+00,-4.062367823542213374e-01,0.000000000000000000e+00
9.146395327516509965e+00,1.341578029049035559e+00,-1.932960003357284684e-01,0.000000000000000000e+00
9.246355932188823346e+00,1.245487002385303965e+00,-3.390546058195862966e-01,0.000000000000000000e+00
9.346316536861133173e+00,1.102881989879530567e+00,-3.859755719822719477e-01,0.000000000000000000e+00
9.446277141533446553e+00,9.731313843434704625e-01,-4.007938374952463856e-01,0.000000000000000000e+00
9.546237746205758157e+00,7.429110832463643455e-01,-2.815806408475450828e-01,0.000000000000000000e+00
9.646198350878067984e+00,8.822574915020456876e-01,-3.657345949029598975e-01,0.000000000000000000e+00
9.746158955550379588e+00,8.356388385750118664e-01,-2.081948970767705798e-01,0.000000000000000000e+00
9.846119560222692968e+00,1.434977731064772000e+00,-6.485470234536652723e-02,0.000000000000000000e+00
9.946080164895002795e+00,1.440012740211464859e+00,-1.566804707872525293e-01,0.000000000000000000e+00
1.004604076956731618e+01,1.526487490742744146e+00,-2.873820567135330073e-01,0.000000000000000000e+00
1.014600137423962778e+01,1.285944126940344212e+00,-3.339673393028304571e-01,0.000000000000000000e+00
1.024596197891193938e+01,8.583236104592070204e-01,-3.697148905749051417e-01,0.000000000000000000e+00
1.034592258358424921e+01,7.169627291992943796e-01,-2.415076995787478198e-01,0.000000000000000000e+00
1.044588318825656081e+01,6.989653139060518772e-01,-1.868244699509760409e-01,0.000000000000000000e+00
